ts,role,fps,goodput_mbps,latency_ms_p50,latency_ms_p95,cpu_pct,mem_mb,temp_c,drops,tag_fail
1761978738.499913595Z,sender,16.00,1.27,NaN,NaN,8.8,630.9,64.4,0,0
1761978738.750326460Z,sender,16.00,1.14,NaN,NaN,7.0,631.3,64.4,0,0
1761978738.750336904Z,receiver,16.00,1.14,0.16,0.30,7.0,631.3,64.4,0,0
1761978739.000724788Z,sender,12.00,1.29,NaN,NaN,6.9,631.1,64.4,0,0
1761978739.001167400Z,receiver,12.00,1.29,0.16,0.30,6.9,631.1,64.4,0,0
1761978739.251099801Z,sender,16.00,1.17,NaN,NaN,4.1,630.1,64.4,0,0
1761978739.251520469Z,receiver,16.00,1.17,0.16,0.30,4.1,630.1,64.4,0,0
1761978739.501463277Z,sender,16.00,1.07,NaN,NaN,6.1,630.2,65.0,0,0
1761978739.501807370Z,receiver,16.00,1.07,0.16,0.30,6.1,630.2,65.0,0,0
1761978739.751840641Z,sender,16.00,1.27,NaN,NaN,6.1,630.4,65.0,0,0
1761978739.752115827Z,receiver,16.00,1.27,0.16,0.30,6.1,630.4,65.0,0,0
1761978740.002505155Z,sender,12.00,0.93,NaN,NaN,5.0,630.4,65.6,0,0
1761978740.002573248Z,receiver,12.00,0.93,0.16,0.30,5.0,630.4,65.6,0,0
1761978740.252981539Z,sender,16.00,1.13,NaN,NaN,5.1,630.3,65.0,0,0
1761978740.253022817Z,receiver,16.00,1.13,0.16,0.30,5.1,630.3,65.0,0,0
1761978740.503365182Z,sender,16.00,1.34,NaN,NaN,6.1,631.0,64.4,0,0
1761978740.503413626Z,receiver,16.00,1.34,0.16,0.30,6.1,631.0,64.4,0,0
1761978740.753765102Z,sender,16.00,1.19,NaN,NaN,7.0,631.2,63.9,0,0
1761978740.753796158Z,receiver,16.00,1.19,0.16,0.29,7.0,631.2,63.9,0,0
1761978741.004242171Z,receiver,12.00,0.84,0.16,0.29,4.0,631.2,64.4,0,0
1761978741.005786991Z,sender,12.00,0.84,NaN,NaN,4.0,631.2,64.4,0,0
1761978741.254612999Z,receiver,16.00,1.20,0.16,0.30,7.0,628.9,63.9,0,0
1761978741.256101467Z,sender,16.00,1.20,NaN,NaN,7.0,628.9,63.9,0,0
1761978741.504969401Z,receiver,16.00,1.56,0.16,0.30,7.9,629.1,65.0,0,0
1761978741.506392239Z,sender,16.00,1.56,NaN,NaN,7.9,629.1,64.4,0,0
1761978741.755350562Z,receiver,16.00,1.28,0.16,0.30,6.1,632.7,65.0,0,0
1761978741.756685714Z,sender,16.00,1.28,NaN,NaN,6.1,632.7,65.0,0,0
1761978742.005749519Z,receiver,12.00,0.83,0.16,0.30,6.9,632.7,65.0,0,0
1761978742.008079175Z,sender,16.00,1.10,NaN,NaN,8.7,632.7,65.0,0,0
1761978742.256190292Z,receiver,16.00,1.09,0.16,0.30,6.9,631.8,64.4,0,0
1761978742.258377429Z,sender,12.00,0.82,NaN,NaN,5.1,631.8,64.4,0,0
1761978742.506629583Z,receiver,16.00,1.22,0.16,0.30,6.0,632.5,65.6,0,0
1761978742.508680923Z,sender,16.00,1.22,NaN,NaN,6.1,632.5,65.6,0,0
1761978742.757029281Z,receiver,16.00,1.51,0.16,0.30,5.1,632.7,64.4,0,0
1761978742.758977751Z,sender,16.00,1.51,NaN,NaN,5.1,632.7,64.4,0,0
1761978743.008393464Z,receiver,16.00,1.13,0.16,0.30,6.0,632.5,64.4,0,0
1761978743.010034062Z,sender,16.00,1.13,NaN,NaN,6.0,632.5,64.4,0,0
1761978743.258896552Z,receiver,12.00,0.88,0.16,0.30,5.1,631.2,64.4,0,0
1761978743.260333205Z,sender,12.00,0.88,NaN,NaN,5.1,631.2,65.0,0,0
1761978743.509273306Z,receiver,16.00,1.17,0.16,0.30,7.0,631.9,64.4,0,0
1761978743.510663236Z,sender,16.00,1.17,NaN,NaN,6.9,631.9,65.0,0,0
1761978743.759743986Z,receiver,16.00,1.21,0.16,0.30,4.1,631.9,65.0,0,0
1761978743.760977175Z,sender,16.00,1.21,NaN,NaN,5.1,631.9,65.0,0,0
1761978744.010331796Z,receiver,16.00,1.24,0.16,0.30,7.8,632.1,65.0,0,0
1761978744.011382022Z,sender,16.00,1.24,NaN,NaN,7.0,632.1,65.0,0,0
1761978744.260837828Z,receiver,12.00,0.92,0.16,0.30,3.1,631.5,65.0,0,0
1761978744.261812702Z,sender,12.00,0.92,NaN,NaN,3.1,631.5,65.0,0,0
1761978744.511212804Z,receiver,16.00,1.24,0.16,0.30,4.1,631.7,65.0,0,0
1761978744.512117122Z,sender,16.00,1.24,NaN,NaN,4.1,631.7,65.0,0,0
1761978744.761640577Z,receiver,16.00,1.27,0.16,0.30,7.9,632.0,63.9,0,0
1761978744.762446135Z,sender,16.00,1.27,NaN,NaN,7.9,632.0,63.9,0,0
1761978745.012205294Z,receiver,16.00,1.45,0.16,0.30,6.1,632.0,65.6,0,0
1761978745.012859000Z,sender,16.00,1.45,NaN,NaN,6.0,632.0,65.0,0,0
1761978745.262703826Z,receiver,12.00,1.21,0.16,0.30,5.9,631.5,64.4,0,0
