ts,role,fps,goodput_mbps,latency_ms_p50,latency_ms_p95,cpu_pct,mem_mb,temp_c,drops,tag_fail
1761982492.036770304Z,receiver,16.00,1.25,4.76,5.23,5.1,641.9,71.1,0,0
1761982492.287156162Z,sender,12.00,0.99,NaN,NaN,6.9,638.0,72.2,0,0
1761982492.287204347Z,receiver,12.00,0.99,4.76,5.23,6.9,638.0,72.2,0,0
1761982492.537608724Z,sender,16.00,1.47,NaN,NaN,7.0,638.2,71.6,0,0
1761982492.537614020Z,receiver,16.00,1.47,4.76,5.23,7.0,638.2,71.6,0,0
1761982492.788047212Z,sender,16.00,1.07,NaN,NaN,7.9,638.9,72.2,0,0
1761982492.788055026Z,receiver,16.00,1.07,4.76,5.23,7.9,638.9,72.2,0,0
1761982493.038445995Z,receiver,16.00,1.36,4.76,5.23,5.1,639.8,72.2,0,0
1761982493.038484829Z,sender,16.00,1.36,NaN,NaN,5.1,639.8,72.2,0,0
1761982493.288930446Z,sender,12.00,0.94,NaN,NaN,6.0,638.5,71.6,0,0
1761982493.289352355Z,receiver,12.00,0.94,4.76,5.23,6.0,638.5,71.6,0,0
1761982493.539366489Z,sender,16.00,1.29,NaN,NaN,7.9,639.2,71.6,0,0
1761982493.539715491Z,receiver,16.00,1.29,4.76,5.23,7.9,639.2,71.6,0,0
1761982493.789798922Z,sender,16.00,1.31,NaN,NaN,7.0,639.2,71.1,0,0
1761982493.790042700Z,receiver,16.00,1.31,4.76,5.23,7.0,639.2,71.1,0,0
1761982494.040356336Z,receiver,16.00,1.24,4.77,5.23,7.0,639.5,71.1,0,0
1761982494.040492688Z,sender,16.00,1.24,NaN,NaN,7.0,639.5,71.1,0,0
1761982494.291012380Z,receiver,12.00,0.96,4.77,5.27,5.1,637.5,72.2,0,0
1761982494.291216529Z,sender,12.00,0.96,NaN,NaN,5.1,637.5,72.2,0,0
1761982494.541465034Z,receiver,16.00,1.35,4.77,5.28,5.1,637.5,72.7,0,0
1761982494.541587942Z,sender,16.00,1.35,NaN,NaN,5.1,637.5,72.7,0,0
1761982494.791863633Z,receiver,16.00,1.15,4.77,5.28,8.8,637.7,72.7,0,0
1761982494.792040226Z,sender,16.00,1.15,NaN,NaN,8.8,637.7,72.7,0,0
1761982495.042288694Z,receiver,16.00,1.30,4.78,5.28,6.1,637.7,72.2,0,0
1761982495.042500769Z,sender,16.00,1.30,NaN,NaN,6.1,637.7,72.2,0,0
1761982495.292894794Z,receiver,12.00,1.03,4.78,5.28,6.0,636.6,72.2,0,0
1761982495.293085128Z,sender,12.00,1.03,NaN,NaN,6.0,636.6,72.2,0,0
1761982495.543413985Z,receiver,12.00,0.93,4.79,5.28,5.0,636.3,71.1,0,0
1761982495.543532504Z,sender,12.00,0.93,NaN,NaN,5.0,636.3,71.1,0,0
1761982495.793891214Z,sender,20.00,1.67,NaN,NaN,10.9,637.7,72.2,0,0
1761982495.793985844Z,receiver,20.00,1.67,4.79,5.29,10.9,637.7,72.2,0,0
1761982496.044370202Z,sender,16.00,1.22,NaN,NaN,5.1,638.0,70.5,0,0
1761982496.044467702Z,receiver,16.00,1.22,4.80,5.29,5.1,638.0,70.5,0,0
1761982496.295831323Z,sender,16.00,1.28,NaN,NaN,7.8,637.4,72.2,0,0
1761982496.295953768Z,receiver,16.00,1.28,4.80,5.29,7.8,637.4,72.2,0,0
1761982496.546211088Z,sender,12.00,1.21,NaN,NaN,5.1,636.6,71.6,0,0
1761982496.546309940Z,receiver,12.00,1.21,4.81,5.29,5.1,636.6,71.6,0,0
1761982496.796648298Z,sender,16.00,1.03,NaN,NaN,7.0,637.3,72.2,0,0
1761982496.796658742Z,receiver,16.00,1.03,4.81,5.29,7.0,637.3,72.2,0,0
1761982497.047066304Z,sender,16.00,1.30,NaN,NaN,5.2,637.6,72.2,0,0
1761982497.047073026Z,receiver,16.00,1.30,4.81,5.29,5.2,637.6,72.2,0,0
1761982497.297527310Z,sender,16.00,1.37,NaN,NaN,7.9,635.8,72.2,0,0
1761982497.297531347Z,receiver,16.00,1.37,4.81,5.29,7.9,635.8,72.2,0,0
1761982497.547955427Z,sender,12.00,0.93,NaN,NaN,5.1,636.2,72.2,0,0
1761982497.548032001Z,receiver,12.00,0.93,4.81,5.29,5.1,636.2,72.2,0,0
1761982497.798335766Z,sender,16.00,1.24,NaN,NaN,7.0,636.7,72.7,0,0
1761982497.798406748Z,receiver,16.00,1.24,4.81,5.28,7.0,636.7,72.7,0,0
1761982498.048791754Z,sender,16.00,1.32,NaN,NaN,6.1,636.5,71.6,0,0
1761982498.048855773Z,receiver,16.00,1.32,4.81,5.28,6.1,636.5,71.6,0,0
1761982498.299430187Z,sender,16.00,1.23,NaN,NaN,7.0,634.0,72.2,0,0
1761982498.299440279Z,receiver,16.00,1.23,4.81,5.28,7.0,634.0,72.2,0,0
1761982498.549909841Z,sender,12.00,1.12,NaN,NaN,8.7,634.0,72.2,0,0
1761982498.550091693Z,receiver,12.00,1.12,4.82,5.29,8.7,634.0,72.2,0,0
1761982498.800272828Z,sender,16.00,1.11,NaN,NaN,6.1,634.4,72.2,0,0
1761982498.800463329Z,receiver,16.00,1.11,4.81,5.29,6.1,634.4,72.2,0,0
1761982499.050649964Z,sender,16.00,1.26,NaN,NaN,7.0,635.4,72.7,0,0
1761982499.050835612Z,receiver,16.00,1.26,4.82,5.29,7.0,635.4,72.7,0,0
1761982499.301317156Z,sender,16.00,1.33,NaN,NaN,7.9,635.1,72.2,0,0
1761982499.301357526Z,receiver,16.00,1.33,4.82,5.28,7.9,635.1,72.2,0,0
1761982499.551818495Z,sender,12.00,0.96,NaN,NaN,5.0,635.1,72.2,0,0
1761982499.551927588Z,receiver,12.00,0.96,4.82,5.28,5.0,635.1,72.2,0,0
1761982499.802341835Z,sender,16.00,1.27,NaN,NaN,7.0,635.6,70.5,0,0
1761982499.802434761Z,receiver,16.00,1.27,4.82,5.28,7.0,635.6,70.5,0,0
1761982500.052795119Z,sender,16.00,1.26,NaN,NaN,7.9,635.6,72.2,0,0
1761982500.052814637Z,receiver,16.00,1.26,4.82,5.29,7.9,635.6,72.2,0,0
1761982500.303192717Z,sender,16.00,1.30,NaN,NaN,7.1,634.5,72.2,0,0
1761982500.303219125Z,receiver,16.00,1.30,4.82,5.29,7.1,634.5,72.2,0,0
1761982500.553584445Z,sender,12.00,1.22,NaN,NaN,4.1,634.5,72.2,0,0
1761982500.553607723Z,receiver,12.00,1.22,4.82,5.29,4.1,634.5,72.2,0,0
1761982500.803967414Z,sender,16.00,1.05,NaN,NaN,6.1,634.9,72.2,0,0
1761982500.803993562Z,receiver,16.00,1.05,4.83,5.29,6.1,634.9,72.2,0,0
1761982501.054360586Z,sender,16.00,1.33,NaN,NaN,7.9,634.9,72.7,0,0
1761982501.054406939Z,receiver,16.00,1.33,4.83,5.29,7.9,634.9,72.7,0,0
1761982501.304770537Z,sender,16.00,1.28,NaN,NaN,7.9,632.4,71.6,0,0
1761982501.304795741Z,receiver,16.00,1.28,4.83,5.29,7.9,632.4,71.6,0,0
1761982501.555362673Z,sender,12.00,0.95,NaN,NaN,4.1,632.4,70.5,0,0
1761982501.555377654Z,receiver,12.00,0.95,4.82,5.29,4.1,632.4,70.5,0,0
1761982501.805776049Z,sender,16.00,1.35,NaN,NaN,5.1,633.4,72.2,0,0
1761982501.805812994Z,receiver,16.00,1.35,4.83,5.28,5.1,633.4,72.2,0,0
1761982502.056182611Z,sender,16.00,1.25,NaN,NaN,8.9,635.2,71.1,0,0
1761982502.056211148Z,receiver,16.00,1.25,4.82,5.28,8.9,635.2,71.1,0,0
1761982502.306579579Z,sender,16.00,1.28,NaN,NaN,8.7,635.2,72.2,0,0
1761982502.306615802Z,receiver,16.00,1.28,4.82,5.28,8.7,635.2,72.2,0,0
1761982502.557053234Z,sender,12.00,0.97,NaN,NaN,3.1,635.1,72.2,0,0
1761982502.557224512Z,receiver,12.00,0.97,4.82,5.28,3.1,635.1,72.2,0,0
1761982502.807441332Z,sender,16.00,1.17,NaN,NaN,4.1,634.9,71.6,0,0
1761982502.807555647Z,receiver,16.00,1.17,4.82,5.28,4.1,634.9,71.6,0,0
1761982503.057875023Z,receiver,16.00,1.35,4.82,5.28,8.8,635.8,72.2,0,0
1761982503.057895412Z,sender,16.00,1.35,NaN,NaN,8.8,635.8,72.2,0,0
1761982503.308265732Z,receiver,16.00,1.32,4.82,5.27,7.0,633.9,71.6,0,0
1761982503.308324881Z,sender,16.00,1.32,NaN,NaN,7.0,633.9,71.6,0,0
1761982503.558717720Z,receiver,12.00,0.97,4.82,5.27,5.1,634.6,72.2,0,0
1761982503.558915054Z,sender,12.00,0.97,NaN,NaN,5.1,634.6,72.2,0,0
1761982503.809150559Z,receiver,16.00,1.28,4.81,5.27,5.1,634.1,72.2,0,0
1761982503.809320578Z,sender,16.00,1.28,NaN,NaN,5.1,634.1,72.2,0,0
1761982504.059578972Z,receiver,16.00,1.25,4.81,5.27,7.0,634.1,72.7,0,0
1761982504.059764732Z,sender,16.00,1.25,NaN,NaN,7.9,634.1,72.7,0,0
1761982504.310006200Z,receiver,16.00,1.23,4.81,5.27,7.9,631.5,71.1,0,0
1761982504.310157775Z,sender,16.00,1.23,NaN,NaN,7.0,631.5,71.1,0,0
1761982504.561027264Z,sender,16.00,1.35,NaN,NaN,6.1,632.2,72.2,0,0
1761982504.561060523Z,receiver,16.00,1.35,4.81,5.27,6.1,632.2,72.2,0,0
1761982504.811416122Z,sender,12.00,0.93,NaN,NaN,4.1,632.7,72.2,0,0
1761982504.811442992Z,receiver,12.00,0.93,4.81,5.27,4.1,632.7,72.2,0,0
1761982505.061823275Z,receiver,16.00,1.36,4.82,5.27,8.9,633.1,72.7,0,0
1761982505.061830905Z,sender,16.00,1.36,NaN,NaN,8.9,633.1,72.7,0,0
1761982505.312236966Z,receiver,16.00,1.28,4.82,5.27,5.1,631.2,71.1,0,0
1761982505.312245966Z,sender,16.00,1.28,NaN,NaN,5.1,631.2,71.1,0,0
1761982505.562705158Z,sender,16.00,1.30,NaN,NaN,5.2,632.2,72.2,0,0
1761982505.562707491Z,receiver,16.00,1.30,4.82,5.27,5.2,632.2,72.2,0,0
1761982505.813134923Z,sender,12.00,0.99,NaN,NaN,7.8,632.2,71.6,0,0
1761982505.813184719Z,receiver,12.00,0.99,4.82,5.27,7.8,632.2,71.6,0,0
1761982506.063567984Z,sender,16.00,1.20,NaN,NaN,8.0,632.4,72.7,0,0
1761982506.063580836Z,receiver,16.00,1.20,4.82,5.27,8.0,632.4,72.7,0,0
1761982506.314010712Z,sender,16.00,1.33,NaN,NaN,7.9,631.8,72.2,0,0
1761982506.314029416Z,receiver,16.00,1.33,4.82,5.27,7.9,631.8,72.2,0,0
1761982506.564683737Z,sender,16.00,1.24,NaN,NaN,6.1,632.0,72.2,0,0
1761982506.564699589Z,receiver,16.00,1.24,4.82,5.27,6.1,632.0,72.2,0,0
1761982506.815177947Z,sender,12.00,0.87,NaN,NaN,6.0,631.8,71.6,0,0
1761982506.815177188Z,receiver,12.00,0.87,4.82,5.27,6.0,631.8,71.6,0,0
1761982507.065621323Z,sender,16.00,1.35,NaN,NaN,7.0,632.0,72.2,0,0
1761982507.065633657Z,receiver,16.00,1.35,4.82,5.27,7.0,632.0,72.2,0,0
1761982507.316083181Z,sender,16.00,1.29,NaN,NaN,6.1,629.9,72.2,0,0
1761982507.316151885Z,receiver,16.00,1.29,4.82,5.27,6.1,629.9,72.2,0,0
1761982507.566755280Z,sender,16.00,1.36,NaN,NaN,6.1,630.1,72.7,0,0
1761982507.566774058Z,receiver,16.00,1.36,4.82,5.27,6.1,630.1,72.7,0,0
1761982507.817252379Z,sender,12.00,0.96,NaN,NaN,5.0,630.3,72.7,0,0
1761982507.817262360Z,receiver,12.00,0.96,4.82,5.27,5.0,630.3,72.7,0,0
1761982508.067707199Z,sender,16.00,1.19,NaN,NaN,6.1,630.8,71.6,0,0
1761982508.067722570Z,receiver,16.00,1.19,4.82,5.27,6.1,630.8,71.6,0,0
1761982508.318142613Z,sender,16.00,1.32,NaN,NaN,5.1,629.1,71.6,0,0
