Transmit Start Time (since epoch as ms),Throughput (bytes per second),Latency (ms),Frames per Second,CPU Usage (%),Memory Used (bytes)
1761980064000,3193.242,947,28.33,0.84295124,5518409728
1761980064000,2741.1167,985,28.33,0.8429873,5519986688
1761980064000,2185.0393,1016,28.33,0.8430367,5519196160
1761980064000,1780.2094,1051,28.33,0.8431377,5519683584
1761980064000,2060.8293,1085,28.33,0.8431512,5518790656
1761980064000,2177.2039,1123,28.33,0.8431838,5519065088
1761980064000,1629.2135,1157,28.33,0.8432751,5519982592
1761980064000,2095.6375,1192,28.33,0.8433017,5520486400
1761980064000,2584.4158,1232,28.35,0.8433989,5520310272
1761980064000,1999.2089,1264,28.35,0.843445,5520404480
1761980064000,2046.1893,1299,28.35,0.8435427,5519089664
1761980064000,1596.1107,1337,28.35,0.8435819,5518602240
1761980064000,1733.771,1371,28.35,0.8436634,5517475840
1761980064000,1922.4199,1405,28.35,0.8437191,5519388672
1761980064000,1720.9142,1444,28.35,0.8438003,5518594048
1761980064000,1633.7169,1477,28.35,0.8438916,5518594048
1761980065000,5612.086,513,28.35,0.8439276,5517189120
1761980065000,5315.7896,551,28.35,0.84398615,5518921728
1761980065000,4372.213,583,28.35,0.84402263,5519409152
1761980065000,3814.2163,619,28.35,0.84406847,5518618624
1761980065000,3625.7578,660,28.35,0.8441396,5519302656
1761980065000,4625.538,697,28.35,0.84420156,5518295040
1761980065000,3834.4734,731,27.7,0.8442541,5517594624
1761980065000,4086.9001,771,27.7,0.84425414,5519577088
1761980065000,3408.5215,798,27.7,0.8443363,5520265216
1761980065000,2941.035,831,27.7,0.8443759,5518598144
1761980065000,1922.7219,867,27.7,0.84441847,5517893632
1761980065000,1651.1627,903,27.7,0.8444675,5516943360
1761980065000,1443.1456,941,27.7,0.8444776,5518905344
1761980065000,1488.7063,974,27.7,0.8445656,5519032320
1761980065000,1462.3762,1010,27.7,0.8445758,5516152832
1761980065000,1483.6853,1042,27.7,0.844609,5516673024
1761980065000,1295.3704,1080,27.7,0.8446385,5516386304
1761980065000,1245.0629,1114,27.7,0.84468436,5517348864
1761980065000,1199.4773,1148,27.7,0.8446915,5517643776
1761980065000,1273.7996,1187,27.7,0.84474033,5517873152
1761980065000,1432.8969,1222,27.7,0.84478295,5519826944
1761980065000,1340.7466,1259,28.54,0.8447865,5518036992
1761980065000,1423.9382,1295,28.54,0.8448033,5518495744
1761980065000,1241.5349,1329,28.54,0.8448945,5516898304
1761980065000,1281.2041,1362,28.54,0.8449761,5518045184
1761980065000,1221.8259,1402,28.54,0.84498596,5517447168
1761980065000,923.5049,1438,28.54,0.84499943,5517340672
1761980065000,928.7169,1473,28.54,0.8450322,5516156928
1761980065000,814.6179,1505,28.54,0.8451107,5516079104
1761980065000,830.5195,1540,28.54,0.8451566,5517484032
1761980065000,676.62006,1574,28.54,0.8451961,5516767232
1761980066000,2110.3896,616,28.54,0.84522516,5518499840
1761980066000,2623.4568,648,28.54,0.84528744,5518475264
1761980066000,40770.07,735,28.54,0.845345,5518577664
1761980066000,1441.6107,745,25.21,0.8453671,5517225984
1761980066000,1684.825,771,25.21,0.84543973,5524152320
1761980066000,1578.8146,793,25.21,0.845503,5524852736
1761980066000,2200.7256,827,25.21,0.8455522,5523771392
1761980066000,2922.5432,865,25.21,0.8455978,5518090240
1761980066000,2522.8538,897,25.21,0.84568596,5517582336
1761980066000,2777.5403,935,25.21,0.8457316,5518114816
1761980066000,4060.0815,982,25.21,0.84577,5517443072
1761980066000,2968.7805,1025,25.21,0.84580535,5517901824
1761980066000,2601.1343,1058,25.21,0.8458579,5516513280
1761980066000,2140.526,1103,25.21,0.8458737,5515882496
1761980066000,1413.7324,1136,25.21,0.84592646,5518413824
1761980066000,859.322,1180,25.21,0.84598434,5517017088
